2024-04- 29 16:27:00: ; Temperatura do LIDAR: 47.25C
2024-04- 29 16:28:00: ; Temperatura interna central: 37.80C
2024-04- 29 16:28:00: ; Temperatura do LIDAR: 47.50C
2024-04- 29 16:29:00: ; Temperatura interna central: 37.80C
2024-04- 29 16:29:00: ; Temperatura do LIDAR: 48.25C
2024-04- 29 16:30:00: ; Temperatura interna central: 38.00C
2024-04- 29 16:30:00: ; Temperatura do LIDAR: 48.50C
2024-04- 29 16:31:00: ; Temperatura interna central: 38.30C
2024-04- 29 16:31:00: ; Temperatura do LIDAR: 48.75C
2024-04- 29 16:32:00: ; Temperatura interna central: 38.50C
2024-04- 29 16:32:00: ; Temperatura do LIDAR: 49.25C
2024-04- 29 16:33:00: ; Temperatura interna central: 38.80C
2024-04- 29 16:33:00: ; Temperatura do LIDAR: 49.00C
2024-04- 29 16:34:00: ; Temperatura interna central: 39.10C
2024-04- 29 16:34:00: ; Temperatura do LIDAR: 49.75C
2024-04- 29 16:35:00: ; Temperatura interna central: 39.50C
2024-04- 29 16:35:00: ; Temperatura do LIDAR: 50.00C
2024-04- 29 16:36:00: ; Temperatura interna central: 39.80C
2024-04- 29 16:36:00: ; Temperatura do LIDAR: 49.50C
2024-04- 29 16:37:00: ; Temperatura interna central: 40.20C
2024-04- 29 16:37:00: ; Temperatura do LIDAR: 50.50C
2024-04- 29 16:38:00: ; Temperatura interna central: 40.50C
2024-04- 29 16:38:00: ; Temperatura do LIDAR: 51.00C
2024-04- 29 16:39:00: ; Temperatura interna central: 40.90C
2024-04- 29 16:39:00: ; Temperatura do LIDAR: 51.00C
2024-04- 30 08:54:03: ; Temperatura interna central: 25.80C
2024-04- 30 08:54:03: ; Temperatura do LIDAR: 27.00C
2024-04- 30 08:55:03: ; Temperatura interna central: 25.80C
2024-04- 30 08:55:03: ; Temperatura do LIDAR: 27.25C
