
2024-04- 29 15:05:48: ; Temperatura do LIDAR: 63.00C
2024-04- 29 15:06:48: ; Temperatura interna central: 49.10C
2024-04- 29 15:06:48: ; Temperatura interna lateral: 46.70C
2024-04- 29 15:06:48: ; Temperatura do chassi: 47.25C
2024-04- 29 15:06:48: ; Temperatura do LIDAR: 63.25C
2024-04- 29 15:07:48: ; Temperatura interna central: 49.00C
2024-04- 29 15:07:48: ; Temperatura interna lateral: 46.90C
2024-04- 29 15:07:48: ; Temperatura do chassi: 47.50C
2024-04- 29 15:07:48: ; Temperatura do LIDAR: 63.00C
2024-04- 29 15:08:48: ; Temperatura interna central: 48.80C
2024-04- 29 15:08:48: ; Temperatura interna lateral: 46.70C
2024-04- 29 15:08:48: ; Temperatura do chassi: 47.75C
2024-04- 29 15:08:48: ; Temperatura do LIDAR: 64.00C
2024-04- 29 15:09:48: ; Temperatura interna central: 48.90C
2024-04- 29 15:09:48: ; Temperatura interna lateral: 46.60C
2024-04- 29 15:09:48: ; Temperatura do chassi: 48.75C
2024-04- 29 15:09:48: ; Temperatura do LIDAR: 64.50C
2024-04- 29 15:10:48: ; Temperatura interna central: 49.20C
2024-04- 29 15:10:48: ; Temperatura interna lateral: 47.10C
